type,pos,headword,freq,range
adquirido,,,1,1
adquirimos,,,1,1
adquirindo,,,1,1
adquirir,,,1,1
adquiriram,,,1,1
adquiriu,,,1,1
adquiro,,,1,1
adrenalina,,,4,1
adriana,,,3,1
adriano,,,15,1
aduana,,,7,1
aduaneira,,,2,1
adubo,,,9,1
adues,,,1,1
adula,,,3,1
adulada,,,1,1
adulando,,,4,1
adular,,,16,1
adulava,,,1,1
adulei,,,1,1
adulo,,,9,1
adulta,,,2,1
adulto,,,2,1
adultos,,,7,1
adultério,,,1,1
adulza,,,1,1
adulão,,,2,1
adus,,,1,1
adversário,,,7,1
adverte,,,3,1
advertência,,,3,1
advinha,,,1,1
advinhando,,,2,1
advogada,,,1,1
advogado,,,19,1
advogados,,,2,1
adágio,,,1,1
adágios,,,1,1
adão,,,106,1
adói,,,1,1
ae,,,1,1
aedos,,,1,1
aereoporto,,,1,1
aeronave,,,2,1
aeronáutica,,,1,1
aeroplano,,,5,1
aeroporto,,,1,1
afaga,,,15,1
afagam,,,1,1
afagando,,,3,1
afagar,,,16,1
afagava,,,1,1
afago,,,141,1
afagos,,,42,1
afaguei,,,6,1
afamada,,,14,1
afamado,,,91,1
afamados,,,4,1
afamilhado,,,1,1
afanado,,,1,1
afasta,,,16,1
afastado,,,4,1
afastados,,,14,1
afastam,,,3,1
afastamos,,,1,1
afastando,,,7,1
afastar,,,21,1
afastaram,,,2,1
afastará,,,1,1
afastasse,,,1,1
afaste,,,2,1
afastei,,,5,1
afasto,,,20,1
afastou,,,11,1
afazer,,,1,1
afazeres,,,9,1
afeita,,,4,1
afeitado,,,1,1
afeitar,,,1,1
afeito,,,5,1
afeição,,,5,1
afelipo,,,8,1
aferido,,,1,1
aferidor,,,1,1
aferra,,,2,1
aferrolhada,,,1,1
aferventado,,,4,1
aferventando,,,1,1
afervento,,,2,1
afeta,,,6,1
afetado,,,1,1
afete,,,1,1
afetiva,,,1,1
afeto,,,62,1
afetos,,,7,1
afetosa,,,1,1
affonso,,,3,1
afia,,,14,1
afiada,,,62,1
afiadas,,,7,1
afiado,,,12,1
afiados,,,4,1
afiam,,,1,1
afianda,,,1,1
afiando,,,5,1
afiar,,,13,1
afiei,,,7,1
afif,,,5,1
afigura,,,2,1
afigurada,,,3,1
afigurado,,,82,1
afigurando,,,5,1
afigurar,,,4,1
afigurava,,,5,1
afilar,,,2,1
afilhada,,,1,1
afilhadas,,,1,1
afilhado,,,11,1
afilhados,,,3,1
afilharada,,,1,1
afim,,,33,1
afina,,,12,1
afinada,,,38,1
afinadas,,,5,1
afinadinho,,,2,1
afinado,,,17,1
afinados,,,5,1
afinal,,,121,1
afinam,,,4,1
afinando,,,2,1
afinar,,,7,1
afinaram,,,1,1
afinação,,,6,1
afinco,,,11,1
afine,,,1,1
afinei,,,17,1
afinidade,,,1,1
afino,,,10,1
afio,,,7,1
afiou,,,50,1
afirma,,,36,1
afirmados,,,1,1
afirmam,,,2,1
afirmamos,,,2,1
afirmando,,,5,1
afirmar,,,4,1
afirmava,,,3,1
afirmação,,,2,1
afirmações,,,1,1
afirmei,,,1,1
afirmo,,,16,1
